"","11.1.3.Proporción de la población urbana que habita en viviendas precarias","","","","","","","","","","","",""
"Tlahuiltepa","","","","","","","","","","","","",""
"Tlanalapa","","","","","","","","","","","","",""
"Tlanchinol","","","","","","","","","","","","",""
"Tlaxcoapan","","","","","","","","","","","","",""
"Tolcayuca","","","","","","","","","","","","",""
"Tula de Allende","","","10.77","","","","","","18.71","","","",""
"Tulancingo de Bravo","","","20.42","","","","","","22.84","","","",""
"Xochiatipan","","","","","","","","","","","","",""
"Xochicoatlán","","","","","","","","","","","","",""
"Yahualica","","","","","","","","","","","","",""
"Zacualtipán de Ángeles","","","32.31","","","","","","41.94","","","",""
"Zapotlán de Juárez","","","","","","","","","","","","",""
"Zempoala","","","","","","","","","","","","",""
"Zimapán","","","","","","","","","","","","",""
"Jalisco","9.77","10.37","13.42","10.22","","","","","","","","",""
"Acatic","","","","","","","","","","","","",""
"Acatlán de Juárez","","","","","","","","","","","","",""
